epoch | train_loss | train_accuracy | test_loss | eval_accuracy
1 | 0.17204388335347176 |  0.8120 | 0.11233569258451462 |  0.9560
2 | 0.08845543570816516 |  0.9762 | 0.08750423118285834 |  0.9700
3 | 0.07702833086252213 |  0.9776 | 0.08306801815750077 |  0.9750
4 | 0.0736495279148221 |  0.9758 | 0.08219967315846588 |  0.9750
5 | 0.07239800743758679 |  0.9766 | 0.08080985567090102 |  0.9720
6 | 0.07159057915210724 |  0.9782 | 0.080206092385808 |  0.9760
7 | 0.07120306111872196 |  0.9778 | 0.08018759577325545 |  0.9760
8 | 0.07118000112473964 |  0.9794 | 0.08015472528594546 |  0.9780
